"pid","meta_class","meta_town_code","meta_nbhd","meta_certified_est_bldg","meta_certified_est_land","meta_cdu","meta_deed_type","char_hd_sf","char_age","char_apts","char_ext_wall","char_roof_cnst","char_rooms","char_beds","char_bsmt","char_bsmt_fin","char_heat","char_oheat","char_air","char_frpl","char_attic_type","char_fbath","char_hbath","char_tp_plan","char_tp_dsgn","char_cnst_qlty","char_site","char_gar1_size","char_gar1_cnst","char_gar1_att","char_gar1_area","char_ot_impr","char_bldg_sf","char_repair_cnd","char_use","char_type_resd","char_attic_fnsh","char_renovation","char_porch","geo_property_city","geo_property_zip","geo_tract_pop","geo_white_perc","geo_black_perc","geo_asian_perc","geo_his_perc","geo_other_perc","geo_fips","geo_municipality","geo_ohare_noise","geo_floodplain","geo_fs_flood_factor","geo_fs_flood_risk_direction","geo_withinmr100","geo_withinmr101300","geo_school_elem_district","geo_school_hs_district","econ_tax_rate","econ_midincome","ind_large_home","ind_arms_length","predicted_sale_price"
11,"234","30","30012",144160,67470,"GD","W",9997,46,2,"3","1",6,3,3,1,"1",5,1,0,3,1,1,2,2,2,2,3,2,2,2,0,1375,2,"1",4,3,1,1,"PALOS HILLS","60465",6149,0.72467067815905,0.113351764514555,0.0204911367702065,0.112701252236136,0.0557814278744511,"57394","Palos Hills",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  117","CONSOLIDATED HIGH SCHOOL  230",11.823,56938,"FALSE","TRUE",194182.083130664
12,"205","21","21012",404840,57310,"Unknown","W",6550,82,2,"3","1",7,3,3,3,"1",5,1,2,2,2,0,2,2,2,2,3,1,2,2,0,1798,2,"1",2,3,1,1,"WESTERN SPRINGS","60558",5576,0.903694404591105,0.0139885222381635,0.00914634146341463,0.0552367288378766,0.0358680057388809,"80242","Western Springs",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  101","LYONS TOWNSHIP HIGH SCHOOL  204",7.9,162765,"FALSE","TRUE",535519
13,"203","22","22141",201340,70000,"Unknown","W",7000,66,2,"3","1",6,3,1,3,"1",5,1,1,3,1,1,2,2,2,2,1,2,1,2,0,1380,2,"1",1,3,1,1,"PARK RIDGE","60068",5094,0.880447585394582,0,0.0212014134275618,0.0881429132312525,0.0204161758932077,"57875","Park Ridge",1,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  64","MAINE TOWNSHIP HIGH SCHOOL  207",8.938,113576,"FALSE","TRUE",325637.650793651
14,"203","77","77060",429440,142180,"Unknown","W",3125,132,2,"2","1",7,4,1,3,"1",5,2,0,1,2,0,2,2,2,2,3,1,2,2,0,1449,2,"1",5,1,1,1,"CHICAGO","60622",1797,0.61324429604897,0.0255982192543127,0.100723427935448,0.219810795770729,0.0812465219810796,"14000","Chicago",0,0,7,0,"Outside","Outside","DIEGO","CLEMENTE HS",6.89,106339,"FALSE","TRUE",611949.833333333
15,"203","72","72282",128670,28120,"Unknown","O",3750,94,2,"2","1",9,6,1,3,"2",2,2,0,1,1,0,2,2,2,2,3,2,2,2,0,1294,2,"1",1,1,1,1,"CHICAGO","60620",5708,0.0110371408549404,0.980028030833917,0.00420462508759635,0.0047302032235459,0,"14000","Chicago",0,0,1,0,"Outside","Inside","GREEN","CORLISS HS",6.908,27500,"FALSE","TRUE",96574.8070221609
16,"205","72","72380",152240,50000,"Unknown","W",5000,79,2,"3","1",7,4,3,1,"1",5,1,0,3,3,1,2,2,2,2,4,1,2,2,0,1958,2,"1",2,3,1,1,"CHICAGO","60638",5341,0.585658116457592,0.00355738625725519,0.00861261935967047,0.389440179741621,0.0254633963677214,"14000","Chicago",0,0,1,0,"Outside","Inside","BYRNE","KENNEDY HS",6.934,96326,"FALSE","TRUE",308426.130204082
17,"203","37","37021",64580,14040,"Unknown","O",3745,115,2,"1","1",7,3,1,3,"1",5,1,0,1,1,1,2,2,2,2,1,1,2,2,0,1008,2,"1",1,3,1,1,"DOLTON","60419",6330,0.0693522906793049,0.875987361769352,0.00505529225908372,0.0372827804107425,0.0246445497630332,"20292","Dolton",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  148","THORNTON TOWNSHIP HIGH SCHOOL  205",30.059,41653,"FALSE","TRUE",42829.166358853
18,"205","20","20081",143410,32810,"Unknown","W",4375,70,2,"3","1",6,4,1,1,"1",5,1,0,3,2,1,2,2,2,2,3,1,2,2,0,1336,2,"1",2,3,1,1,"FRANKLIN PARK","60131",4995,0.612612612612613,0.0248248248248248,0.021021021021021,0.320720720720721,0.0396396396396396,"27702","Franklin Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  84","COMMUNITY HIGH SCHOOL  212",11.763,63495,"FALSE","TRUE",192449.17297596
19,"211","77","77091",82120,36710,"Unknown","W",3125,122,2,"2","1",6,4,1,3,"1",5,2,0,3,2,0,2,2,2,2,7,1,2,2,0,2362,2,"2",2,3,1,1,"CHICAGO","60623",655,0.00610687022900763,0.861068702290076,0,0.132824427480916,0,"14000","Chicago",0,0,1,0,"Outside","Outside","CROWN","FARRAGUT HS",6.913,21974,"FALSE","TRUE",153568.349732869
20,"202","21","21101",29320,80000,"Unknown","W",16000,60,2,"1","1",6,3,2,3,"1",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,960,2,"1",1,3,1,1,"JUSTICE","60458",6004,0.56545636242505,0.088107928047968,0.0326449033977348,0.300632911392405,0.0263157894736842,"38830","Justice",0,0,6,1,"Outside","Outside","SCHOOL DISTRICT  109","COMMUNITY HIGH SCHOOL  217",12.42,57557,"FALSE","TRUE",141454.905275007
21,"203","28","28050",156530,31870,"Unknown","T",7500,50,2,"1","1",6,3,1,3,"1",5,1,0,3,1,0,2,2,2,2,1,1,1,2,0,1120,2,"1",1,3,1,1,"TINLEY PARK","60477",7741,0.817336261464927,0.0209275287430565,0.0127890453429789,0.137837488696551,0.0222193515049735,"75484","Tinley Park",0,0,6,1,"Outside","Outside","SCHOOL DISTRICT C C  146","CONSOLIDATED HIGH SCHOOL  230",12.138,66981,"FALSE","TRUE",183175.709387755
22,"203","72","72282",85750,23430,"Unknown","W",3125,61,2,"1","1",4,2,2,3,"1",5,2,0,3,1,0,2,2,2,2,7,1,2,2,0,1035,2,"1",1,3,1,1,"CHICAGO","60628",4359,0.00229410415232851,0.974076623078688,0,0.000229410415232852,0.0467997247075017,"14000","Chicago",0,0,1,0,"Outside","Outside","EVERS","HARLAN HS",6.908,60755,"FALSE","TRUE",88700.302022375
23,"234","70","70111",77890,32200,"Unknown","W",4025,60,2,"2","1",5,3,3,1,"1",5,2,0,3,1,1,2,2,2,2,3,1,2,2,0,1000,2,"1",4,3,1,1,"CHICAGO","60619",2707,0.00738825267824159,0.907277428888068,0,0.0709272257111193,0.0288141854451422,"14000","Chicago",0,0,2,1,"Outside","Outside","RUGGLES","BOWEN HS",6.88386464826358,39853,"FALSE","TRUE",107784.812619048
24,"203","72","72121",40970,20470,"Unknown","W",3150,92,2,"2","1",4,2,1,3,"1",5,2,0,1,1,0,2,2,2,2,7,1,2,2,0,1010,2,"1",1,3,1,1,"CHICAGO","60636",5157,0.00523560209424083,0.857669187512119,0.00174520069808027,0.123715338375024,0.0232693426410704,"14000","Chicago",0,0,6,1,"Outside","Outside","MCKAY","GAGE PARK HS",6.934,31310,"FALSE","TRUE",43128.189411303
25,"202","70","70120",52320,62280,"Unknown","W",6920,97,2,"2","1",5,2,1,3,"2",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,936,2,"1",1,3,1,1,"CHICAGO","60619",3213,0.00435729847494553,0.96078431372549,0.0108932461873638,0.0239651416122004,0,"14000","Chicago",0,0,1,0,"Outside","Outside","PIRIE","HARLAN HS",6.88386464826358,30100,"FALSE","TRUE",97730.9295238095
26,"205","27","27030",334170,49240,"Unknown","W",4377,107,2,"4","1",7,4,1,1,"2",5,2,0,2,1,1,2,2,2,2,7,1,2,2,0,2133,2,"1",2,3,1,1,"OAK PARK","60302",3200,0.585625,0.27375,0.0425,0.0584375,0.079375,"54885","Oak Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  97","CONSOLIDATED HIGH SCHOOL  200",13.157,62500,"FALSE","TRUE",411282.20952381
27,"203","72","72223",85830,31080,"Unknown","W",4145,98,2,"3","1",5,3,1,3,"2",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,1056,2,"1",1,3,1,1,"CHICAGO","60620",3012,0.0215803452855246,0.954847277556441,0.00863213811420982,0,0.0275564409030544,"14000","Chicago",0,0,1,0,"Outside","Outside","GRESHAM","HIRSCH HS",6.87331719128329,37628,"FALSE","TRUE",93697.7714613294
28,"212","73","73011",275750,94680,"Unknown","W",2367,101,2,"2","2",7,4,3,3,"2",5,2,0,1,2,1,2,2,2,2,7,1,2,2,0,3670,2,"2",2,3,1,1,"CHICAGO","60660",3464,0.351039260969977,0.132217090069284,0.1229792147806,0.347863741339492,0.0877598152424942,"14000","Chicago",0,0,1,0,"Inside","Outside","HAYT","SENN HS",6.89,38427,"FALSE","TRUE",388474.399047619
29,"204","22","22080",208830,61170,"Unknown","W",7893,57,2,"3","1",7,4,3,3,"1",5,2,0,3,2,0,2,2,2,2,2,3,1,2,0,1869,2,"1",1,3,1,1,"NILES","60714",3956,0.694893832153691,0.0432254802831143,0.112740141557128,0.106673407482305,0.0849342770475228,"53000","Niles",0,0,2,1,"Outside","Outside","SCHOOL DISTRICT  63","MAINE TOWNSHIP HIGH SCHOOL  207",8.00744329896907,79958,"FALSE","TRUE",305690.099138322
30,"211","77","77141",148990,72850,"Unknown","W",3100,119,2,"2","1",10,5,1,2,"1",5,2,0,1,2,1,2,2,2,2,3,1,2,2,0,1980,2,"2",5,1,1,1,"CHICAGO","60608",3960,0.177272727272727,0.0535353535353535,0.0154040404040404,0.736868686868687,0.0338383838383838,"14000","Chicago",0,0,1,0,"Outside","Outside","RUIZ","JUAREZ HS",6.89,50039,"FALSE","TRUE",260456.821428571
31,"211","25","25011",556420,23130,"Unknown","W",3085,39,6,"2","1",23,11,2,3,"1",5,2,0,3,6,5,2,2,2,2,7,1,2,2,0,6792,2,"2",3,3,1,1,"GLENVIEW","60025",5186,0.512340917855766,0.0376012340917856,0.333783262630158,0.11261087543386,0.00366370998843038,"19642","Unknown",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C 34","NORTHFIELD TOWNSHIP HIGH SCHOOL  225",7.448,45045,"FALSE","TRUE",603537.176190476
32,"202","37","37021",31050,18450,"Unknown","W",4920,62,2,"1","1",5,3,1,3,"1",5,2,0,3,1,0,2,2,2,2,7,1,2,2,0,988,2,"1",1,3,1,1,"DOLTON","60419",5062,0.0369419201896484,0.879296720663769,0.0102726195179771,0.0325958119320427,0.0817858553931252,"20292","Dolton",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  149","THORNTON TOWNSHIP HIGH SCHOOL  205",25.009,53221,"FALSE","TRUE",32978.8754065313
33,"278","22","22150",538970,73180,"Unknown","W",6970,17,2,"2","1",8,4,1,3,"1",5,1,1,3,3,1,2,2,2,2,3,2,2,2,0,2969,2,"1",2,3,1,1,"PARK RIDGE","60068",5094,0.880447585394582,0,0.0212014134275618,0.0881429132312525,0.0204161758932077,"57875","Park Ridge",1,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  64","MAINE TOWNSHIP HIGH SCHOOL  207",8.938,113576,"FALSE","TRUE",754930.285714286
34,"211","71","71210",149810,39270,"Unknown","W",3570,99,3,"2","1",15,6,1,1,"1",5,2,0,3,3,0,2,2,2,2,3,1,2,2,0,2394,2,"2",2,3,1,1,"CHICAGO","60639",4963,0.00463429377392706,0.789038887769494,0,0.19605077574048,0.0102760427160991,"14000","Chicago",0,0,1,0,"Outside","Outside","YOUNG","STEINMETZ COLLEGE PREP HS",6.88477238239757,45479,"FALSE","TRUE",195178.356462585
35,"205","34","34050",300140,48730,"Unknown","W",5130,82,2,"2","1",6,3,1,1,"1",5,1,1,2,1,1,2,2,2,2,1,2,1,1,0,1595,2,"1",2,3,1,1,"RIVERSIDE","60546",3616,0.842643805309734,0.0116150442477876,0.00995575221238938,0.129977876106195,0.0116150442477876,"64421","Riverside",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 96","RIVERSIDE BROOKFIELD HIGH SCHOOL 208",12.07,125486,"FALSE","TRUE",379023.90952381
36,"203","31","31104",182340,39600,"Unknown","W",6600,65,2,"3","1",6,3,1,1,"1",5,1,0,1,1,0,2,2,2,2,1,3,1,2,0,1223,2,"1",1,3,1,1,"WESTCHESTER","60154",5569,0.664571736397917,0.0773927096426647,0.059974860836775,0.192853295026037,0.0104147961932124,"80047","Westchester",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 92 1/2","PROVISO TOWNSHIP HIGH SCHOOL 209",9.688,85958,"FALSE","TRUE",233073.030524636
37,"203","72","72200",99540,30240,"Unknown","W",3780,65,2,"1","1",4,3,2,3,"1",5,2,0,3,1,0,2,2,2,2,7,1,2,2,0,1123,2,"1",1,3,1,1,"CHICAGO","60652",6994,0.030025736345439,0.831140977981127,0.00943665999428081,0.0550471832999714,0.148698884758364,"14000","Chicago",0,0,3,1,"Outside","Outside","CARROLL","BOGAN HS",6.949,66886,"FALSE","TRUE",166665.40784521
38,"278","29","29033",268380,55000,"Unknown","W",8800,44,2,"1","1",8,4,3,3,"1",5,1,0,3,3,0,2,2,2,2,3,1,1,2,0,2225,2,"1",2,3,1,1,"HOFFMAN ESTATES","60192",4955,0.630272452068618,0.0211907164480323,0.2343087790111,0.0688193743693239,0.0908173562058527,"35411","Hoffman Estates",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  15","PALATINE TOWNSHIP HIGH SCHOOL  211",10.023,116563,"FALSE","TRUE",430068.098370927
39,"207","77","77030",414920,82870,"Unknown","W",3250,6,2,"1","1",7,3,1,1,"1",5,1,1,3,2,1,2,2,2,2,3,1,2,2,0,1680,2,"1",2,3,1,1,"CHICAGO","60647",1573,0.567069294342022,0.0432294977749523,0.0158931977113795,0.349014621741894,0.0495867768595041,"14000","Chicago",0,0,1,0,"Outside","Outside","YATES","CLEMENTE HS",6.915,80735,"FALSE","TRUE",487934.309523809
40,"295","22","22050",229900,18020,"Unknown","W",1802,29,2,"1","1",5,2,1,3,"1",5,1,1,3,2,1,2,1,2,2,3,2,1,1,0,1652,2,"1",2,3,1,1,"NILES","60714",7226,0.470246332687517,0.0199280376418489,0.259894824245779,0.227926930528647,0.0358427899252699,"19642","Unknown",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  63","MAINE TOWNSHIP HIGH SCHOOL  207",9.253,47274,"FALSE","TRUE",224041.828571429
41,"203","71","71371",228730,40500,"Unknown","W",3240,64,2,"2","1",6,3,1,1,"1",5,2,0,1,2,0,2,2,2,2,3,1,2,2,0,1545,2,"1",5,1,1,1,"CHICAGO","60634",3177,0.675165250236072,0.00220333648095687,0.0937991816178785,0.228832231665093,0,"14000","Chicago",0,0,1,0,"Outside","Outside","CANTY","STEINMETZ COLLEGE PREP HS",6.894,73133,"FALSE","TRUE",279988.984761905
42,"295","31","31102",184200,23200,"Unknown","T",2730,36,2,"3","1",5,2,3,3,"1",5,1,0,2,2,0,2,1,2,2,1,2,1,1,0,1473,2,"1",5,1,1,1,"WESTCHESTER","60154",5569,0.664571736397917,0.0773927096426647,0.059974860836775,0.192853295026037,0.0104147961932124,"80047","Westchester",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 92 1/2","PROVISO TOWNSHIP HIGH SCHOOL 209",9.688,85958,"FALSE","TRUE",201912.061904762
43,"203","31","31060",137030,28970,"Unknown","W",6100,100,2,"1","1",7,4,1,1,"2",5,2,0,1,1,1,2,2,2,2,5,1,2,2,0,1128,2,"1",1,3,1,1,"BELLWOOD","60104",5020,0.048804780876494,0.738645418326693,0.000796812749003984,0.209163346613546,0.00318725099601593,"4975","Bellwood",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 88","PROVISO TOWNSHIP HIGH SCHOOL 209",19.52,52200,"FALSE","TRUE",145682.583401871
44,"212","71","71280",266440,39370,"Unknown","W",3150,124,3,"2","2",7,4,2,3,"2",5,1,1,1,3,0,2,2,2,2,5,1,2,2,0,4361,2,"2",2,1,1,1,"CHICAGO","60639",3934,0.025419420437214,0.00788002033553635,0.00025419420437214,0.966446365022878,0,"14000","Chicago",0,0,1,0,"Outside","Outside","HANSON PARK","FOREMAN HS",6.88477238239757,50863,"FALSE","TRUE",236884.836031746
45,"203","31","31104",180800,42930,"Unknown","W",7155,66,2,"2","1",6,3,1,1,"1",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,1175,2,"1",1,3,1,1,"WESTCHESTER","60154",5569,0.664571736397917,0.0773927096426647,0.059974860836775,0.192853295026037,0.0104147961932124,"80047","Westchester",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 92 1/2","PROVISO TOWNSHIP HIGH SCHOOL 209",9.688,85958,"FALSE","TRUE",264656.288225762
46,"204","15","15030",157440,38760,"Unknown","W",4191,97,2,"2","1",10,5,1,1,"2",5,1,0,1,3,1,2,2,2,2,3,1,2,2,0,1727,2,"1",6,3,1,1,"CICERO","60804",6490,0.0428351309707242,0.0394453004622496,0.0152542372881356,0.894298921417566,0.00955315870570107,"14351","Cicero",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  99","BERWYN CICERO STICKNEY HIGH SCHOOL 201",16.731,55168,"FALSE","FALSE",193686.451292517
47,"202","71","71060",235330,45310,"Unknown","T",3125,59,2,"2","1",4,2,2,3,"1",5,2,0,3,1,0,2,2,2,2,1,1,2,2,0,988,2,"1",1,3,1,1,"CHICAGO","60630",5390,0.582931354359926,0.00463821892393321,0.123933209647495,0.285343228200371,0.00630797773654916,"14000","Chicago",0,0,1,0,"Outside","Outside","BEAUBIEN","TAFT HS",6.894,86512,"FALSE","TRUE",289721.054368414
48,"211","71","71070",234760,50000,"Unknown","T",3125,107,2,"2","1",9,4,1,1,"1",2,2,0,3,3,0,2,2,2,2,3,1,2,2,0,1918,2,"2",2,3,1,1,"CHICAGO","60618",4200,0.312619047619048,0.025952380952381,0.0452380952380952,0.561666666666667,0.0864285714285714,"14000","Chicago",0,0,1,0,"Outside","Outside","MONROE","SCHURZ HS",6.919,59408,"FALSE","TRUE",408613.95952381
49,"203","77","77020",143670,53340,"Unknown","W",3810,109,2,"2","1",7,2,1,3,"2",5,2,0,1,1,1,2,2,2,2,7,1,2,2,0,1752,2,"1",5,1,1,1,"CHICAGO","60651",7489,0.0380558151956202,0.431032180531446,0.00841233809587394,0.514487915609561,0.0129523300841234,"14000","Chicago",0,0,1,0,"Outside","Outside","PICCOLO","ORR HS",6.89,35309,"FALSE","TRUE",181772.73599863
50,"295","29","29050",161060,23240,"Unknown","W",1033,31,2,"1","1",6,2,3,1,"1",5,1,1,3,2,1,2,2,2,2,1,1,1,2,0,1261,2,"1",2,3,1,1,"PALATINE","60067",6827,0.769444851325619,0.0103998828182218,0.203017430789512,0,0.0342756701332943,"57225","Palatine",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  15","PALATINE TOWNSHIP HIGH SCHOOL  211",9.835,157125,"FALSE","TRUE",235892.443223443
51,"203","72","72271",231080,43050,"Unknown","W",4305,67,2,"2","1",6,3,1,3,"1",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,1351,2,"1",1,3,1,1,"CHICAGO","60643",4100,0.525121951219512,0.350487804878049,0.0168292682926829,0.0829268292682927,0.035609756097561,"14000","Chicago",0,0,1,0,"Outside","Outside","SUTHERLAND","MORGAN PARK HS",6.908,122727,"FALSE","TRUE",296157.142857143
52,"203","70","70030",84620,51560,"Unknown","W",4125,98,2,"2","1",6,3,1,3,"2",5,2,0,2,1,0,2,2,2,2,3,1,2,2,0,1225,2,"1",1,1,1,1,"CHICAGO","60619",2901,0,0.975525680799724,0,0.0031023784901758,0.0213719407101,"14000","Chicago",0,0,1,0,"Outside","Outside","RUGGLES","HIRSCH HS",6.88386464826358,32935,"FALSE","TRUE",93541.1053076087
53,"202","70","70240",56000,30620,"Unknown","W",4712,78,2,"1","1",5,2,1,3,"1",5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,686,2,"1",1,3,1,1,"CHICAGO","60617",2809,0.227839088643645,0,0.0110359558561766,0.761124955500178,0,"14000","Chicago",0,0,1,0,"Outside","Outside","WASHINGTON, G","WASHINGTON HS",6.908,44738,"FALSE","TRUE",99572.7416068134
54,"202","77","77170",325040,106920,"Unknown","W",2350,130,2,"2","1",6,3,1,3,"2",5,2,0,1,1,0,2,2,2,2,1,1,2,2,0,960,2,"1",5,1,1,1,"CHICAGO","60647",3136,0.721619897959184,0.0315688775510204,0.0449617346938775,0.167729591836735,0.0650510204081633,"14000","Chicago",0,0,8,0,"Outside","Inside","PULASKI","CLEMENTE HS",6.915,133438,"FALSE","TRUE",508539.809695959
55,"202","71","71071",206870,53320,"Unknown","W",3950,127,2,"1","1",5,2,1,1,"1",5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,968,2,"1",1,3,1,1,"CHICAGO","60630",3002,0.633577614923384,0.00899400399733511,0.100266489007328,0.215856095936043,0.0826115922718188,"14000","Chicago",0,0,1,0,"Outside","Outside","BELDING","SCHURZ HS",6.917,82765,"FALSE","TRUE",263288.435661376
56,"203","72","72223",90990,23630,"Unknown","W",3151,117,2,"1","1",7,4,1,3,"1",5,2,0,2,1,0,2,2,2,2,3,1,2,2,0,1483,2,"1",5,1,1,1,"CHICAGO","60620",3012,0.0215803452855246,0.954847277556441,0.00863213811420982,0,0.0275564409030544,"14000","Chicago",0,0,6,1,"Outside","Outside","GRESHAM","HIRSCH HS",6.87331719128329,37628,"FALSE","TRUE",112092.16031746
57,"211","77","77020",144840,52790,"Unknown","W",3771,99,2,"2","2",10,4,1,3,"2",5,2,0,3,2,0,2,2,2,2,7,1,2,2,0,2348,2,"2",2,3,1,1,"CHICAGO","60651",7489,0.0380558151956202,0.431032180531446,0.00841233809587394,0.514487915609561,0.0129523300841234,"14000","Chicago",0,0,1,0,"Outside","Outside","PICCOLO","ORR HS",6.89,35309,"FALSE","TRUE",173016.239949875
